Ratio Percentage,Primary Enc Counts From Zero,Secondary Enc Counts from zero,Clamping Force (lbf)
153,46158,4340,190
152,46173,4324,190
151,46188,4309,190
150,46204,4293,190
149,46219,4277,190
148,46234,4262,190
147,46249,4246,190
146,46264,4231,190
145,46280,4215,190
144,46295,4200,190
143,46310,4184,190
142,46325,4169,190
141,46340,4153,189
140,46355,4138,189
139,46370,4122,189
138,46385,4107,189
137,46400,4091,189
136,46415,4076,189
135,46430,4061,189
134,46445,4045,189
133,46460,4030,189
132,46475,4015,189
131,46490,3999,189
130,46505,3984,189
129,46520,3969,189
128,46535,3953,189
127,46549,3938,189
126,46564,3923,189
125,46579,3908,189
124,46594,3892,189
123,46608,3877,189
122,46623,3862,189
121,46638,3847,188
120,46653,3832,188
119,46667,3817,188
118,46682,3802,188
117,46697,3786,188
116,46711,3771,188
115,46726,3756,188
114,46740,3741,188
113,46755,3726,188
112,46770,3711,188
111,46784,3696,188
110,46799,3681,188
109,46813,3666,188
108,46828,3651,188
107,46842,3636,188
106,46857,3621,188
105,46871,3607,188
104,46885,3592,188
103,46900,3577,188
102,46914,3562,188
101,46929,3547,188
100,46943,3532,187
99,46957,3517,187
98,46972,3503,187
97,46986,3488,187
96,47000,3473,187
95,47014,3458,187
94,47029,3444,187
93,47043,3429,187
92,47057,3414,187
91,47071,3399,187
90,47085,3385,187
89,47100,3370,187
88,47114,3355,187
87,47128,3341,187
86,47142,3326,187
85,47156,3311,187
84,47170,3297,187
83,47184,3282,187
82,47198,3268,187
81,47212,3253,187
80,47226,3239,187
79,47240,3224,187
78,47254,3210,186
77,47268,3195,186
76,47282,3181,186
75,47296,3166,186
74,47310,3152,186
73,47324,3137,186
72,47338,3123,186
71,47352,3108,186
70,47365,3094,186
69,47379,3080,186
68,47393,3065,186
67,47407,3051,186
66,47421,3037,186
65,47434,3022,186
64,47448,3008,186
63,47462,2994,186
62,47476,2979,186
61,47489,2965,186
60,47503,2951,186
59,47517,2937,186
58,47530,2922,186
57,47544,2908,186
56,47558,2894,186
55,47571,2880,185
54,47585,2866,185
53,47598,2851,185
52,47612,2837,185
51,47625,2823,185
50,47639,2809,185
49,47652,2795,185
48,47666,2781,185
47,47679,2767,185
46,47693,2753,185
45,47706,2739,185
44,47720,2725,185
43,47733,2711,185
42,47747,2697,185
41,47760,2683,185
40,47773,2669,185
39,47787,2655,185
38,47800,2641,185
37,47813,2627,185
36,47827,2613,185
35,47840,2599,185
34,47853,2585,185
33,47866,2571,185
32,47880,2557,185
31,47893,2543,184
30,47906,2530,184
29,47919,2516,184
28,47933,2502,184
27,47946,2488,184
26,47959,2474,184
25,47972,2461,184
24,47985,2447,184
23,47998,2433,184
22,48011,2419,184
21,48024,2406,184
20,48037,2392,184
19,48051,2378,184
18,48064,2365,184
17,48077,2351,184
16,48090,2337,184
15,48103,2324,184
14,48116,2310,184
13,48129,2296,184
12,48141,2283,184
11,48154,2269,184
10,48167,2256,184
9,48180,2242,184
8,48193,2228,184
7,48206,2215,183
6,48219,2201,183
5,48232,2188,183
4,48245,2174,183
3,48257,2161,183
2,48270,2147,183
1,48283,2134,183
0,48296,2120,183
,0,0,
