Ratio Percentage,Primary Enc Counts From Zero,Secondary Enc Counts from zero,Clamping Force (lbf)
391,20927,4310,206
390,20937,4299,205
389,20948,4289,205
388,20959,4279,205
387,20970,4268,205
386,20980,4258,205
385,20991,4248,205
384,21002,4237,205
383,21012,4227,205
382,21023,4217,205
381,21033,4207,205
380,21044,4196,205
379,21055,4186,205
378,21065,4176,204
377,21076,4166,204
376,21086,4155,204
375,21097,4145,204
374,21107,4135,204
373,21118,4125,204
372,21128,4115,204
371,21138,4105,204
370,21149,4095,204
369,21159,4084,204
368,21170,4074,204
367,21180,4064,204
366,21190,4054,204
365,21201,4044,203
364,21211,4034,203
363,21221,4024,203
362,21231,4014,203
361,21242,4004,203
360,21252,3994,203
359,21262,3984,203
358,21272,3974,203
357,21283,3964,203
356,21293,3954,203
355,21303,3944,203
354,21313,3935,203
353,21323,3925,203
352,21333,3915,202
351,21343,3905,202
350,21353,3895,202
349,21364,3885,202
348,21374,3875,202
347,21384,3866,202
346,21394,3856,202
345,21404,3846,202
344,21414,3836,202
343,21424,3827,202
342,21434,3817,202
341,21444,3807,202
340,21453,3797,202
339,21463,3788,201
338,21473,3778,201
337,21483,3768,201
336,21493,3759,201
335,21503,3749,201
334,21513,3739,201
333,21523,3730,201
332,21532,3720,201
331,21542,3710,201
330,21552,3701,201
329,21562,3691,201
328,21571,3682,201
327,21581,3672,201
326,21591,3662,200
325,21601,3653,200
324,21610,3643,200
323,21620,3634,200
322,21630,3624,200
321,21639,3615,200
320,21649,3605,200
319,21659,3596,200
318,21668,3586,200
317,21678,3577,200
